id,card_title,card_type,is_unique,sphere,threat,cost,willpower,attack,defense,hitpoints,traits,keywords,cycle_name,set_name,set_number,quantity_owned,related_card_ids,img_id,card_url,img_url
1,Aragorn,Hero,TRUE,Leadership,12,,2,3,2,5,Dúnedain. Noble. Ranger.,Sentinel.,Core Set,Core Set,1,1,,01001,https://www.ringsdb.com/card/01001,https://www.ringsdb.com/bundles/cards/01001.png
2,Théodred,Hero,TRUE,Leadership,8,,1,2,1,4,Noble. Rohan. Warrior.,,Core Set,Core Set,2,1,,01002,https://www.ringsdb.com/card/01002,https://www.ringsdb.com/bundles/cards/01002.png
3,Glóin,Hero,TRUE,Leadership,9,,2,2,1,4,Dwarf. Noble.,,Core Set,Core Set,3,1,,01003,https://www.ringsdb.com/card/01003,https://www.ringsdb.com/bundles/cards/01003.png
4,Gimli,Hero,TRUE,Tactics,11,,2,2,2,5,Dwarf. Noble. Warrior.,,Core Set,Core Set,4,1,,01004,https://www.ringsdb.com/card/01004,https://www.ringsdb.com/bundles/cards/01004.png
5,Legolas,Hero,TRUE,Tactics,9,,1,3,1,4,Noble. Silvan. Warrior.,Ranged.,Core Set,Core Set,5,1,,01005,https://www.ringsdb.com/card/01005,https://www.ringsdb.com/bundles/cards/01005.png
6,Thalin,Hero,TRUE,Tactics,9,,1,2,2,4,Dwarf. Warrior.,,Core Set,Core Set,6,1,,01006,https://www.ringsdb.com/card/01006,https://www.ringsdb.com/bundles/cards/01006.png
7,Éowyn,Hero,TRUE,Spirit,9,,4,1,1,3,Noble. Rohan.,,Core Set,Core Set,7,1,,01007,https://www.ringsdb.com/card/01007,https://www.ringsdb.com/bundles/cards/01007.png
8,Eleanor,Hero,TRUE,Spirit,7,,1,1,2,3,Gondor. Noble.,,Core Set,Core Set,8,1,,01008,https://www.ringsdb.com/card/01008,https://www.ringsdb.com/bundles/cards/01008.png
9,Dúnhere,Hero,TRUE,Spirit,8,,1,2,1,4,Rohan. Warrior.,,Core Set,Core Set,9,1,,01009,https://www.ringsdb.com/card/01009,https://www.ringsdb.com/bundles/cards/01009.png
10,Denethor,Hero,TRUE,Lore,8,,1,1,3,3,Gondor. Noble. Steward.,,Core Set,Core Set,10,1,,01010,https://www.ringsdb.com/card/01010,https://www.ringsdb.com/bundles/cards/01010.png
11,Glorfindel,Hero,TRUE,Lore,12,,3,3,1,5,Noble. Noldor. Warrior.,,Core Set,Core Set,11,1,,01011,https://www.ringsdb.com/card/01011,https://www.ringsdb.com/bundles/cards/01011.png
12,Beravor,Hero,TRUE,Lore,10,,2,2,2,4,Dúnedain. Ranger.,,Core Set,Core Set,12,1,,01012,https://www.ringsdb.com/card/01012,https://www.ringsdb.com/bundles/cards/01012.png
13,Guard of the Citadel,Ally,FALSE,Leadership,,2,1,1,0,2,Gondor. Warrior.,,Core Set,Core Set,13,3,,01013,https://www.ringsdb.com/card/01013,https://www.ringsdb.com/bundles/cards/01013.png
14,Faramir,Ally,TRUE,Leadership,,4,2,1,2,3,Gondor. Noble. Ranger.,,Core Set,Core Set,14,3,,01014,https://www.ringsdb.com/card/01014,https://www.ringsdb.com/bundles/cards/01014.png
15,Son of Arnor,Ally,FALSE,Leadership,,3,0,2,0,2,Dúnedain.,,Core Set,Core Set,15,3,,01015,https://www.ringsdb.com/card/01015,https://www.ringsdb.com/bundles/cards/01015.png
16,Snowbourn Scout,Ally,FALSE,Leadership,,1,0,0,1,1,Rohan. Scout.,,Core Set,Core Set,16,3,,01016,https://www.ringsdb.com/card/01016,https://www.ringsdb.com/bundles/cards/01016.png
17,Silverlode Archer,Ally,FALSE,Leadership,,3,1,2,0,1,Archer. Silvan.,Ranged.,Core Set,Core Set,17,3,,01017,https://www.ringsdb.com/card/01017,https://www.ringsdb.com/bundles/cards/01017.png
18,Longbeard Orc Slayer,Ally,FALSE,Leadership,,4,0,2,1,3,Dwarf. Warrior.,,Core Set,Core Set,18,3,,01018,https://www.ringsdb.com/card/01018,https://www.ringsdb.com/bundles/cards/01018.png
19,Brok Ironfist,Ally,TRUE,Leadership,,6,2,2,1,4,Dwarf. Warrior.,,Core Set,Core Set,19,3,,01019,https://www.ringsdb.com/card/01019,https://www.ringsdb.com/bundles/cards/01019.png
20,Ever Vigilant,Event,FALSE,Leadership,,1,,,,,,,Core Set,Core Set,20,3,,01020,https://www.ringsdb.com/card/01020,https://www.ringsdb.com/bundles/cards/01020.png
